ID,business_id,city,state,postal_code,latitude,longitude,review_count,EthnicType,stars
0,Pd52CjgyEU3Rb8co6QfTPw,Las Vegas,NV,89119,36.0669136,-115.1708484,13,American,4
1,n7V4cD-KqqE3OXk0irJTyA,Las Vegas,NV,89119,36.06825852,-115.1788768,349,American,3
3,QkG3KUXwqZBW18A9k1xqCA,Phoenix,AZ,85035,33.4787353,-112.2213794,37,American,2.5
4,W1Yr6c2XDx_RBjb6WsV-aQ,Las Vegas,NV,89152,36.1707065,-115.1902885,140,American,4
5,M3uV9Y3EDSpy9d4YwyNSAQ,Phoenix,AZ,85029,33.5823628,-112.1498845,66,Japanese,4
6,U1ZVgF-kfkvv_rcoe0RglQ,Phoenix,AZ,85013,33.4887595,-112.0824018,172,Vietnamese,4.5
7,dPxZI9lrKTl5dvFfnb1_Ig,Las Vegas,NV,89183,36.0100856,-115.1186563,210,Italian,4.5
8,irYAkavSVtIEyGOsHK-yPw,Phoenix,AZ,85004,33.4667324,-112.0727233,43,American,3.5
9,WfB_SsYeKy83QQsqAAyGVQ,Las Vegas,NV,89119,36.0986321,-115.1360793,5,Mexican,4.5
11,_eKvk2GoGKb3CoYolHgRlg,Phoenix,AZ,85044,33.347893,-111.9768218,88,Greek,4.5
19,qB15WElGAlI_eGWjn0kT2w,Phoenix,AZ,85032,33.6259,-112.0136,18,Mexican,2
21,wRmPV-RvcqcjeyUeOaJQCg,Las Vegas,NV,89109,36.1409252,-115.1428874,3,American,2.5
24,AfL8Ds7ex73tfVbq3EFWKg,Las Vegas,NV,89117,36.1594825,-115.2874508,6,Mexican,5
27,WMj5Uj04pAqFxLMnJQcQqw,Las Vegas,NV,89109,36.1220839,-115.1680316,61,Chinese,2.5
28,RGmBfqdFb0giLPG-SZbQUQ,Las Vegas,NV,89169,36.124902,-115.13471,4,Mexican,3
31,v0byOL8VL6v6muGa1anxFA,Las Vegas,NV,89117,36.1432041,-115.262866,214,Greek,4.5
32,aNe8ofTYrealxqv7VtFTuw,Las Vegas,NV,89118,36.0703249,-115.2249525,215,American,3.5
34,pidpBdWsOFfe7pWypBIoiQ,Las Vegas,NV,89103,36.1146002,-115.2252211,42,Asian Fusion,4
35,PgJgpW4TKQ8IoALH2Yq-zA,Las Vegas,NV,89109,36.09121926,-115.1758039,1033,American,3
38,frCxZS7lPhEnQRJ3UY6m7A,Phoenix,AZ,85006,33.469201,-112.047393,1694,Mexican,4
40,gwYt_q3Ob7aQJIefIBsZiQ,Las Vegas,NV,89118,36.058716,-115.2433571,264,American,4
42,l0WauZ92kRg9bu2oxHj4TQ,Phoenix,AZ,85022,33.607105,-112.063427,130,Italian,4
43,bAdwf-n52f46-ZjlfJ1Hwg,Las Vegas,NV,89130,36.2730147,-115.2518622,26,Mexican,2.5
44,crGdKSRKi25R2vorZ7skzg,Las Vegas,NV,89101,36.1656584,-115.1165785,3,Mexican,4.5
46,ZPZYNq9fNu2GyeCSz7U-fg,Las Vegas,NV,89104,36.1590151,-115.0850773,6,American,3
48,Yar8jR2a1XA2JuRKfmNDcw,Phoenix,AZ,85053,33.6259523,-112.1343378,3,Greek,5
51,5_MrPFw9E0cMJ1Q0DJFZOQ,Las Vegas,NV,89109,36.11738432,-115.1703222,288,American,3
53,tSbs8i_9Hlaommupjgn63Q,Las Vegas,NV,89110,36.1739844,-115.0797206,14,Chinese,3
54,oIoq6WQbyRpPZClMkHQNlQ,Las Vegas,NV,,36.16000372,-115.118578,4,Mexican,3
57,OFw59czUoeeosFMKfRawmg,Las Vegas,NV,89169,36.1170027,-115.1552488,352,American,3.5
59,9CNObWIk7w8poCo5IAtgmw,Las Vegas,NV,89103,36.10051263,-115.1868803,55,American,4
60,7KkgMcbVaetryW1wwpzvvA,Las Vegas,NV,89149,36.26483,-115.257743,153,Mexican,3.5
61,uIbZjRRqR1OR-t2NBCa1Wg,Las Vegas,NV,89118,36.0944572,-115.2088673,32,Italian,2.5
65,Ld2hhA3q3cdkptwS1fsYEg,Phoenix,AZ,85085,33.71450555,-112.1122384,80,Japanese,4
67,pyqnGlIfP9Zw8LLxBjyAiA,Las Vegas,NV,89109,36.11674333,-115.1753682,840,Japanese,4
69,_QvGAqMmrUIlxpby2Ul5Dg,Las Vegas,NV,89129,36.21914606,-115.2517567,242,Mexican,3.5
73,aRRV_ZbRiD65SIi7vAY-iA,Phoenix,AZ,85032,33.6264184,-112.0132464,3,Indian,1
74,JKTMgelIQ-VHn7SL5nyiWA,Las Vegas,NV,89123,36.0182263,-115.1179256,86,Asian Fusion,4.5
75,4Pb7SlTK89uSdqOwMNM35A,Las Vegas,NV,89109,36.11386,-115.168798,187,Mexican,3
78,ahfAFuFHO9tfFkoBIkVdmg,Phoenix,AZ,85032,33.6113539,-111.9985593,95,Mediterranean,4.5
79,J121PGT4oi5AqVbtMoEfVw,Las Vegas,NV,89119,36.1130431,-115.1194493,6,Mexican,3.5
82,iFCz-xI7CV98fcaB4Chh3g,Las Vegas,NV,89148,36.0560801,-115.2808739,178,American,4.5
83,82YGtjc5KKikNiqBZ33qzw,Las Vegas,NV,89118,36.0698514,-115.2249867,428,Japanese,4
84,kMGfuOZeBDNQJ4_pBjE26Q,Las Vegas,NV,89115,36.22666672,-115.0813409,6,Mexican,4.5
86,luf0E5FPY-hv-uceL8QtBA,Las Vegas,NV,89109,36.1052677,-115.1724964,23,American,4
87,Rv1IiQaIIDunqzS8dSvHCw,Las Vegas,NV,89108,36.21922332,-115.2427038,218,Asian Fusion,4.5
90,2oCM63whZH_IW6kzxciysg,Las Vegas,NV,89146,36.15941849,-115.2073426,3,Mexican,3.5
91,V1EdIokE0YYN__dNYfXRdA,Las Vegas,NV,89102,36.12613,-115.1891408,171,Hawaiian,4
92,RQdKieW9hqg898d_S2WwRA,Phoenix,AZ,85016,33.5076828,-112.0459694,87,Japanese,3.5
93,1hrX1vHaUgllWH6i876oAw,Phoenix,AZ,85001,33.4499672,-112.0702225,4,Mexican,5
95,cTJjTKz2huGZ-ElScC2pSw,Phoenix,AZ,85012,33.513575,-112.073381,977,American,4
96,Q47FjaMLjI3v6yo-PHIebQ,Phoenix,AZ,85004,33.449568,-112.0740163,5,Italian,3
101,mDtlBsfTUPDuASvUcKWSbw,Las Vegas,NV,89103,36.1159009,-115.2263204,65,Hawaiian,4
103,16Fplxu-OwVmTEFxQAUP4g,Las Vegas,NV,89109,36.09535564,-115.1766143,421,American,3.5
105,kaVWvc71cXH9MKuQmDtVUA,Las Vegas,NV,89102,36.1263001,-115.2037174,12,Vietnamese,3
106,gKFDJ9IpFxt95DHxTN7ZHw,Las Vegas,NV,89129,36.2191781,-115.2624712,75,Greek,3.5
107,Lv2V5KqRlCl7_S6LKWkGlg,Phoenix,AZ,85004,33.4534741,-112.0711732,9,American,3
110,7m1Oa1VYV98UUuo_6i0EZg,Phoenix,AZ,85032,33.63991349,-111.9957035,1019,Mexican,4.5
113,beuVp5CZxCdNvQIIPBS2rw,Las Vegas,NV,89146,36.1273078,-115.2243612,516,Chinese,4.5
114,iGvnkEz2efD9q-Z7ZcasWQ,Phoenix,AZ,85016,33.4954365,-112.0197856,8,Italian,1.5
115,#NAME?,Phoenix,AZ,85042,33.3785008,-112.0286997,28,Chinese,2.5
